;Number of cuts;Length of X;K subsets;Neighbors;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
203;7;60;6;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.6058665;1.6068090583333273e-05;0.7783639456638628;[0.609455, 0.605309, 0.599404, 0.604277, 0.612005, 0.604749]
204;7;60;6;3;0.21918183333333338;2.4392427138888932e-05;0.46814254336280364;[0.225693, 0.219534, 0.222437, 0.220678, 0.209943, 0.216806];0.6710801666666666;1.7089911388888036e-06;0.8191937851787742;[0.672321, 0.670617, 0.670806, 0.672271, 0.668564, 0.671902]
205;7;60;6;5;0.3540401666666666;2.5663020138888907e-05;0.5949911794695176;[0.351254, 0.356093, 0.355301, 0.358117, 0.344215, 0.359261];0.7009234999999999;1.6227189249999958e-05;0.837202050171134;[0.70575, 0.69716, 0.69738, 0.706268, 0.696782, 0.702201]
206;7;60;6;20;0.5895438333333333;2.061521747222224e-05;0.7678041534895869;[0.592433, 0.590937, 0.594985, 0.587681, 0.590585, 0.580642];0.7362363333333333;1.5168812555555524e-05;0.8580333120111233;[0.739429, 0.730864, 0.735751, 0.742737, 0.733292, 0.735345]
207;7;60;6;50;0.6671213333333333;7.311411555555471e-06;0.816770483013299;[0.66256, 0.668368, 0.67048, 0.669512, 0.665024, 0.666784];0.7501045;1.643832824999983e-05;0.8660762447219932;[0.75053, 0.750494, 0.744816, 0.753863, 0.745173, 0.755751]
208;7;60;6;100;0.7113948333333333;8.098493472222118e-06;0.843437451646452;[0.710955, 0.712011, 0.716586, 0.708403, 0.708051, 0.712363];0.7633403333333333;8.386995222222239e-06;0.8736887010475247;[0.761257, 0.761358, 0.759841, 0.765731, 0.763614, 0.768241]
209;7;60;6;200;0.7379818333333333;2.2583924472222387e-05;0.8590455455963095;[0.738935, 0.738495, 0.746326, 0.739023, 0.731016, 0.734096];0.7697101666666667;8.338915472222168e-06;0.8773265228814152;[0.772982, 0.764938, 0.767292, 0.770182, 0.769926, 0.772941]
210;8;60;1;1;0.0;0.0;0.0;[0.0];0.609455;0.0;0.7806759891273716;[0.609455]
211;8;60;1;3;0.225693;0.0;0.475071573554975;[0.225693];0.672321;0.0;0.8199518278533197;[0.672321]
212;8;60;1;5;0.351254;0.0;0.5926668541432024;[0.351254];0.70575;0.0;0.8400892809695883;[0.70575]
213;8;60;1;20;0.592433;0.0;0.7696966935098526;[0.592433];0.739429;0.0;0.8599005756481385;[0.739429]
214;8;60;1;50;0.66256;0.0;0.813977886677519;[0.66256];0.75053;0.0;0.8663313453869714;[0.75053]
215;8;60;1;100;0.710955;0.0;0.8431814751285751;[0.710955];0.761257;0.0;0.8725004297993211;[0.761257]
216;8;60;1;200;0.738935;0.0;0.8596132851462919;[0.738935];0.772982;0.0;0.8791939490237635;[0.772982]
217;8;60;2;1;0.0;0.0;0.0;[0.0, 0.0];0.607382;4.297328999999965e-06;0.7793444056840338;[0.609455, 0.605309]
218;8;60;2;3;0.22261350000000002;9.483320249999995e-06;0.47180930117977754;[0.225693, 0.219534];0.671469;7.259039999999385e-07;0.819431677503378;[0.672321, 0.670617]
219;8;60;2;5;0.3536735;5.853980249999957e-06;0.594699626719027;[0.351254, 0.356093];0.7014549999999999;1.8447024999999942e-05;0.8375180911329617;[0.70575, 0.69716]
220;8;60;2;20;0.591685;5.595039999999565e-07;0.7692102706646603;[0.592433, 0.590937];0.7351464999999999;1.8339806250000192e-05;0.8573961512590023;[0.739429, 0.730864]
221;8;60;2;50;0.665464;8.43321599999978e-06;0.815754599609466;[0.66256, 0.668368];0.7505120000000001;3.2400000000064806e-10;0.8663209565028426;[0.75053, 0.750494]
222;8;60;2;100;0.711483;2.7878399999997143e-07;0.8434943516206851;[0.710955, 0.712011];0.7613075;2.5502500000008958e-09;0.8725293676717993;[0.761257, 0.761358]
223;8;60;2;200;0.738715;4.839999999999911e-08;0.8594852829455546;[0.738935, 0.738495];0.76896;1.617648399999976e-05;0.8768944198225919;[0.772982, 0.764938]
224;8;60;3;1;0.0;0.0;0.0;[0.0, 0.0, 0.0];0.6047226666666666;1.700899355555528e-05;0.7776282258721781;[0.609455, 0.605309, 0.599404]
225;8;60;3;3;0.22255466666666668;6.329136222222219e-06;0.47175029150011605;[0.225693, 0.219534, 0.222437];0.671248;5.816179999999499e-07;0.8192969049020019;[0.672321, 0.670617, 0.670806]
226;8;60;3;5;0.3542159999999999;4.491265999999954e-06;0.5951567093917365;[0.351254, 0.356093, 0.355301];0.7000966666666666;1.5988155555555507e-05;0.8367082397772302;[0.70575, 0.69716, 0.69738]
227;8;60;3;20;0.592785;2.7930026666665937e-06;0.7699235072377861;[0.592433, 0.590937, 0.594985];0.735348;1.2307742000000146e-05;0.8575171673255294;[0.739429, 0.730864, 0.735751]
228;8;60;3;50;0.6671360000000001;1.1213311999999774e-05;0.8167770728221991;[0.66256, 0.668368, 0.67048];0.7486133333333335;7.210086222222169e-06;0.8652202744082638;[0.75053, 0.750494, 0.744816]
229;8;60;3;100;0.713184;5.972657999999911e-06;0.8444986840380511;[0.710955, 0.712011, 0.716586];0.7608186666666666;4.796162222222108e-07;0.8722489249351039;[0.761257, 0.761358, 0.759841]
230;8;60;3;200;0.7412519999999999;1.2905004666666783e-05;0.8609524348042308;[0.738935, 0.738495, 0.746326];0.768404;1.1402594666666507e-05;0.8765800576132983;[0.772982, 0.764938, 0.767292]
231;8;60;4;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0];0.60461125;1.2793986187499803e-05;0.7775592942109384;[0.609455, 0.605309, 0.599404, 0.604277]
232;8;60;4;3;0.22208550000000002;5.4072042499999895e-06;0.47125374565699746;[0.225693, 0.219534, 0.222437, 0.220678];0.67150375;6.324376874999468e-07;0.8194529379789375;[0.672321, 0.670617, 0.670806, 0.672271]
233;8;60;4;5;0.35519124999999996;6.221787187500002e-06;0.5959740163906582;[0.351254, 0.356093, 0.355301, 0.358117];0.7016395;1.9132120749999988e-05;0.837627821815423;[0.70575, 0.69716, 0.69738, 0.706268]
234;8;60;4;20;0.591509;6.97927999999994e-06;0.7690916855096016;[0.592433, 0.590937, 0.594985, 0.587681];0.73719525;1.9467804187500048e-05;0.8585894142113636;[0.739429, 0.730864, 0.735751, 0.742737]
235;8;60;4;50;0.66773;9.468491999999838e-06;0.8171416838639429;[0.66256, 0.668368, 0.67048, 0.669512];0.7499257500000001;1.0574877187499823e-05;0.8659764287339539;[0.75053, 0.750494, 0.744816, 0.753863]
236;8;60;4;100;0.7119887500000001;8.765361187499863e-06;0.8437890640668511;[0.710955, 0.712011, 0.716586, 0.708403];0.76204675;4.884278187500128e-06;0.8729500934886327;[0.761257, 0.761358, 0.759841, 0.765731]
237;8;60;4;200;0.74069475;1.0610336187500117e-05;0.860630082941453;[0.738935, 0.738495, 0.746326, 0.739023];0.7688485;9.144686749999918e-06;0.8768348506493399;[0.772982, 0.764938, 0.767292, 0.770182]
238;8;60;5;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0];0.60609;1.898199519999992e-05;0.7785056313250406;[0.609455, 0.605309, 0.599404, 0.604277, 0.612005]
239;8;60;5;3;0.21965700000000005;2.791621240000005e-05;0.4686460111721853;[0.225693, 0.219534, 0.222437, 0.220678, 0.209943];0.6709158;1.8886909599998967e-06;0.8190933471278106;[0.672321, 0.670617, 0.670806, 0.672271, 0.668564]
240;8;60;5;5;0.352996;2.4253920000000027e-05;0.5941142533890261;[0.351254, 0.356093, 0.355301, 0.358117, 0.344215];0.700668;1.908094559999997e-05;0.8370477400091347;[0.70575, 0.69716, 0.69738, 0.706268, 0.696782]
241;8;60;5;20;0.5913242;5.720028159999946e-06;0.7689723531908282;[0.592433, 0.590937, 0.594985, 0.587681, 0.590585];0.7364146;1.8011901039999968e-05;0.8581355301460021;[0.739429, 0.730864, 0.735751, 0.742737, 0.733292]
242;8;60;5;50;0.6671888;8.746383359999907e-06;0.8168109044427847;[0.66256, 0.668368, 0.67048, 0.669512, 0.665024];0.7489752000000001;1.2074082959999901e-05;0.8654265572057748;[0.75053, 0.750494, 0.744816, 0.753863, 0.745173]
243;8;60;5;100;0.7112012;9.493228959999879e-06;0.8433218287054118;[0.710955, 0.712011, 0.716586, 0.708403, 0.708051];0.7623602;4.300426160000112e-06;0.873129944265938;[0.761257, 0.761358, 0.759841, 0.765731, 0.763614]
244;8;60;5;200;0.7387589999999999;2.3476781200000135e-05;0.8594972502683181;[0.738935, 0.738495, 0.746326, 0.739023, 0.731016];0.769064;7.501510399999938e-06;0.876958664071232;[0.772982, 0.764938, 0.767292, 0.770182, 0.769926]
245;8;60;6;1;0.0;0.0;0.0;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.6058665;1.6068090583333273e-05;0.7783639456638628;[0.609455, 0.605309, 0.599404, 0.604277, 0.612005, 0.604749]
246;8;60;6;3;0.21918183333333338;2.4392427138888932e-05;0.46814254336280364;[0.225693, 0.219534, 0.222437, 0.220678, 0.209943, 0.216806];0.6710801666666666;1.7089911388888036e-06;0.8191937851787742;[0.672321, 0.670617, 0.670806, 0.672271, 0.668564, 0.671902]
247;8;60;6;5;0.3540401666666666;2.5663020138888907e-05;0.5949911794695176;[0.351254, 0.356093, 0.355301, 0.358117, 0.344215, 0.359261];0.7009234999999999;1.6227189249999958e-05;0.837202050171134;[0.70575, 0.69716, 0.69738, 0.706268, 0.696782, 0.702201]
248;8;60;6;20;0.5895438333333333;2.061521747222224e-05;0.7678041534895869;[0.592433, 0.590937, 0.594985, 0.587681, 0.590585, 0.580642];0.7362363333333333;1.5168812555555524e-05;0.8580333120111233;[0.739429, 0.730864, 0.735751, 0.742737, 0.733292, 0.735345]
249;8;60;6;50;0.6671213333333333;7.311411555555471e-06;0.816770483013299;[0.66256, 0.668368, 0.67048, 0.669512, 0.665024, 0.666784];0.7501045;1.643832824999983e-05;0.8660762447219932;[0.75053, 0.750494, 0.744816, 0.753863, 0.745173, 0.755751]
250;8;60;6;100;0.7113948333333333;8.098493472222118e-06;0.843437451646452;[0.710955, 0.712011, 0.716586, 0.708403, 0.708051, 0.712363];0.7633403333333333;8.386995222222239e-06;0.8736887010475247;[0.761257, 0.761358, 0.759841, 0.765731, 0.763614, 0.768241]
251;8;60;6;200;0.7379818333333333;2.2583924472222387e-05;0.8590455455963095;[0.738935, 0.738495, 0.746326, 0.739023, 0.731016, 0.734096];0.7697101666666667;8.338915472222168e-06;0.8773265228814152;[0.772982, 0.764938, 0.767292, 0.770182, 0.769926, 0.772941]
